,file_name,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,label,predicted_label,actual_label
0,0.jpg,-2.498279651,-1.125598997,-1.976298937,15.97337045,18.33567359,26,head_straight_eye_top_30,gazing else where,gazing else where
1,1.jpg,-1.484419162,-0.956491077,-1.839879357,14.29286617,15.28902767,23,head_straight_eye_top_30,gazing else where,gazing else where
2,2.jpg,-1.484419162,-0.956491077,-1.839879357,14.29286617,15.28902767,23,head_straight_eye_top_30,gazing else where,gazing else where
3,3.jpg,-2.204423214,-1.195321512,-1.443799116,18.33987047,12.88791434,24,head_straight_eye_top_30,gazing else where,gazing else where
4,4.jpg,-2.204423214,-1.195321512,-1.443799116,18.33987047,12.88791434,24,head_straight_eye_top_30,gazing else where,gazing else where
5,5.jpg,-2.170911629,-1.247830685,-1.121549,14.71868405,19.25288471,26,head_straight_eye_top_30,gazing else where,gazing else where
6,6.jpg,-2.170911629,-1.247830685,-1.121549,14.71868405,19.25288471,26,head_straight_eye_top_30,gazing else where,gazing else where
7,7.jpg,-2.378039681,-1.114770816,-1.433030357,15.89084229,20.57378492,28,head_straight_eye_top_30,gazing else where,gazing else where
8,8.jpg,-2.378039681,-1.114770816,-1.433030357,15.89084229,20.57378492,28,head_straight_eye_top_30,gazing else where,gazing else where
9,9.jpg,-1.383344273,-0.785226804,-1.673333196,17.38827627,15.39976166,25,head_straight_eye_top_30,gazing else where,gazing else where
10,10.jpg,-1.383344273,-0.785226804,-1.673333196,17.38827627,15.39976166,25,head_straight_eye_top_30,gazing else where,gazing else where
11,11.jpg,-2.248508166,-1.120219756,-1.782219935,15.75937199,14.27579773,23,head_straight_eye_top_30,gazing else where,gazing else where
12,12.jpg,-2.248508166,-1.120219756,-1.782219935,15.75937199,14.27579773,23,head_straight_eye_top_30,gazing else where,gazing else where
13,13.jpg,-2.181585252,-1.092702787,-1.432018898,17.89314653,16.12198568,26,head_straight_eye_top_30,gazing else where,gazing else where
14,14.jpg,-2.181585252,-1.092702787,-1.432018898,17.89314653,16.12198568,26,head_straight_eye_top_30,gazing else where,gazing else where
15,15.jpg,-1.980595547,-1.215099479,-1.715075121,15.57722045,20.71538905,29,head_straight_eye_top_30,gazing else where,gazing else where
16,16.jpg,-1.980595547,-1.215099479,-1.715075121,15.57722045,20.71538905,29,head_straight_eye_top_30,gazing else where,gazing else where
17,17.jpg,-1.995251429,-1.174675212,-1.706695489,16.80337523,18.47395331,27,head_straight_eye_top_30,gazing else where,gazing else where
18,18.jpg,-1.995251429,-1.174675212,-1.706695489,16.80337523,18.47395331,27,head_straight_eye_top_30,gazing else where,gazing else where
19,19.jpg,-1.585850928,-1.038960048,-1.762319053,16.67453074,15.00157499,24,head_straight_eye_top_30,gazing else where,gazing else where
20,20.jpg,-1.585850928,-1.038960048,-1.762319053,16.67453074,15.00157499,24,head_straight_eye_top_30,gazing else where,gazing else where
21,21.jpg,-2.459034623,-0.961114681,-1.483495311,16.63386447,16.69980774,25,head_straight_eye_top_30,gazing else where,gazing else where
22,22.jpg,-2.459034623,-0.961114681,-1.483495311,16.63386447,16.69980774,25,head_straight_eye_top_30,gazing else where,gazing else where
23,23.jpg,-1.965650595,-1.333055822,-1.514625957,18.28208373,14.06250472,24,head_straight_eye_top_30,gazing else where,gazing else where
24,24.jpg,-1.965650595,-1.333055822,-1.514625957,18.28208373,14.06250472,24,head_straight_eye_top_30,gazing else where,gazing else where
25,25.jpg,-1.516384917,-1.130417386,-1.472232579,19.23826544,12.55300471,25,head_straight_eye_top_30,gazing else where,gazing else where
26,26.jpg,-1.516384917,-1.130417386,-1.472232579,19.23826544,12.55300471,25,head_straight_eye_top_30,gazing else where,gazing else where
27,27.jpg,-2.161915201,-1.164626977,-1.545604748,17.6778416,13.37749223,24,head_straight_eye_top_30,gazing else where,gazing else where
28,28.jpg,-2.161915201,-1.164626977,-1.545604748,17.6778416,13.37749223,24,head_straight_eye_top_30,gazing else where,gazing else where
29,29.jpg,-2.182949683,-1.285037753,-1.466534156,18.15129988,12.91387358,24,head_straight_eye_top_30,gazing else where,gazing else where
30,30.jpg,-2.182949683,-1.285037753,-1.466534156,18.15129988,12.91387358,24,head_straight_eye_top_30,gazing else where,gazing else where
