pitch,roll,yaw,eye_pitch,eye_yaw,actual_label
-10.36983153,-0.269438162,-1.54914421,-9.075903444,1.525763563,gazing
-11.31999699,-0.715488436,-1.219296155,-10.15971703,7.612866747,gazing
-11.53535225,-0.863695382,-1.268001831,-6.539677506,9.489982883,gazing
-11.23267107,-0.369886828,-1.766353726,-3.133894459,8.755520141,gazing
-11.26624789,-0.748627837,-2.091069699,-5.812786132,4.955554685,gazing
-10.74549632,-0.686363067,-1.713052129,-6.902485761,12.21284368,gazing
-11.3683232,-0.90752199,-1.734759885,-4.739509121,5.054798203,gazing
-10.95178787,-1.091897337,-1.274609131,-3.58656765,8.237685756,gazing
-11.22658511,-0.884416949,-1.450773747,-3.353480621,5.197342211,gazing
-11.54998428,-0.588947603,-1.793052733,-3.533026589,13.02998478,gazing
-10.56082741,-0.798238189,-1.770497215,-6.139730644,9.649643902,gazing
-10.51947071,-0.628269963,-2.057434373,-6.249097428,7.573945352,gazing
-10.29407762,-1.317113738,-2.268841597,-4.723312279,4.476494849,gazing
-11.08872128,-1.713327194,-2.215000119,-1.950834837,1.078332474,gazing
-11.05161425,-1.962570908,-2.451360736,-1.656475553,2.033942246,gazing
-10.7770787,-1.40105335,-2.071568189,-3.633254135,1.664673106,gazing
-10.38356746,-1.062457904,-1.401034364,-4.117160686,8.858772868,gazing
-9.838113247,-1.033625535,-1.644200237,-4.255190322,7.597459299,gazing
-10.24573822,-1.339146027,-1.435652301,-4.197551125,4.388872307,gazing
-9.134597121,-1.127705611,-1.655374605,-2.359085007,1.763857663,gazing
-9.712368235,-1.146051813,-0.683949364,-5.285051705,6.312699288,gazing
-9.502314294,-1.063342218,-1.166649674,-3.508934835,6.673925559,gazing
-9.759838985,-0.782473717,-1.726667543,-3.685547234,2.22861753,gazing
-9.317714953,-1.300173442,-1.47368742,-5.51569091,-1.399545399,gazing
-8.695658174,-1.211244954,-1.729208992,-3.341610194,7.699055079,gazing
-9.995618117,-1.093608093,-1.409354098,-3.047593637,8.333935275,gazing
-8.986058995,-1.086481015,-1.386430284,-7.172032358,0.973953814,gazing
-9.388584041,-1.100507798,-1.365107697,-3.52375953,1.576111917,gazing
-9.275662477,-1.145512915,-1.374865003,-0.775859889,7.032606411,gazing
-9.277176021,-1.295931195,-1.373868632,0.657494243,4.030499553,gazing
-8.920151515,-1.279407259,-1.259545,-2.373617098,4.550245207,gazing
-9.641127268,-1.587199271,-1.318419259,0.438087974,3.490693853,gazing
-8.411851422,-1.33381878,-0.869476651,-2.459040195,11.18689165,gazing
-9.545754954,-1.271909397,-1.057414598,-5.624258712,5.487143015,gazing
-8.826399849,-0.922148898,-1.438587774,-8.180267217,4.440308047,gazing
-8.931842192,-1.071516284,-1.040944956,-2.034810511,7.915463446,gazing
-9.150400842,-1.167972698,-0.754840422,-1.88471792,3.16014115,gazing
-8.731754999,-1.332727367,-0.742192033,-2.472875866,1.63278869,gazing
-9.132850552,-1.039806495,-1.525718251,-5.352726557,7.249725324,gazing
-9.376501756,-1.354704299,-1.029221184,-3.87920886,0.373606564,gazing
-8.574239009,-1.427486974,-1.398692549,-2.404309609,-0.273581251,gazing
-9.019141882,-1.319939994,-0.75648794,-1.719902571,-0.135419451,gazing
