,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,actual_label
0,1.720689212,-2.911539625,-2.237974592,-9.226343774,1.662153084,7,gazing_else_where
1,1.346863238,-2.674532625,-3.603621281,-10.27139971,8.54917138,12,gazing_else_where
2,1.580188587,-2.803772025,-3.869373199,-5.313840502,3.088983768,4,gazing_else_where
3,2.226857787,-2.959689827,-3.246697611,-9.186662946,5.181758756,9,gazing_else_where
4,2.475193537,-2.851765026,-2.955255726,-13.50966025,-0.77622352,12,gazing_else_where
5,2.101124343,-2.667798213,-3.524994643,-10.28971418,6.59670075,11,gazing_else_where
6,1.930066577,-2.598057397,-3.958151109,-6.791276102,7.369121033,8,gazing_else_where
7,1.72802515,-3.12847398,-4.193615015,-12.19341706,11.71739189,16,gazing_else_where
8,2.213564043,-2.88764152,-3.151849381,-10.27113206,11.80247239,14,gazing_else_where
9,2.465330619,-2.841763996,-3.394104855,-9.118686251,3.369833401,8,gazing_else_where
10,1.784963781,-2.852669882,-2.912725352,-7.945923455,9.494588929,12,gazing_else_where
11,3.001417437,-2.836815959,-3.906503481,-6.258436069,-2.230235817,6,gazing_else_where
12,2.89216854,-3.104119333,-4.116845391,-9.81973241,11.25970078,14,gazing_else_where
13,2.840188485,-3.03829809,-3.50414656,-9.590450209,1.74305355,7,gazing_else_where
14,3.066408958,-3.180501287,-3.170348401,-10.37517387,8.832443157,12,gazing_else_where
15,2.352173792,-2.760738553,-3.260044004,-12.07396176,-0.396489622,10,gazing_else_where
16,2.3329697,-2.850303767,-3.313934498,-8.441008399,0.459206113,6,gazing_else_where
17,2.209726917,-3.256400126,-3.134705289,-8.277560078,-6.220091219,9,gazing_else_where
18,2.813354965,-3.046797662,-3.276875417,-13.77157635,-1.261429992,12,gazing_else_where
19,2.928821365,-2.828867738,-3.227202144,-11.52563336,-4.200219724,11,gazing_else_where
20,3.158830404,-3.022916628,-3.752163679,-9.408605726,-4.031484591,9,gazing_else_where
21,2.92617766,-3.249379847,-3.782764138,-12.72335735,1.712119414,11,gazing_else_where
22,2.244506727,-3.083492578,-3.57008382,-14.44747273,-4.486155859,14,gazing_else_where
23,2.426024473,-2.980275199,-3.639144465,-9.050730521,0.037180123,7,gazing_else_where
24,1.853721467,-3.345289526,-4.062776338,-8.833464104,8.565306469,11,gazing_else_where
25,2.22548222,-3.06746139,-5.245787251,-12.49987356,-7.149199616,14,gazing_else_where
26,2.88215662,-3.112236075,-5.674215731,-9.575118973,0.809658921,8,gazing_else_where
27,2.018395249,-3.14440933,-8.396869521,-7.488774488,-14.08949594,19,gazing_else_where
28,1.176809794,-2.920834031,-11.18493644,-4.163141301,-2.47413798,6,gazing_else_where
29,2.002658983,-2.856065049,-9.870103411,-6.970063279,2.057782634,4,gazing_else_where
30,1.824131244,-2.681597893,-10.52052692,-6.190766811,-0.354423215,4,gazing_else_where
31,1.913295468,-2.780913617,-8.469350948,-5.441014436,2.931575918,3,gazing_else_where
32,2.192634254,-2.618892896,-9.190369626,-10.99601633,1.426239593,9,gazing_else_where
33,2.400099971,-2.717228669,-9.202599273,-7.345550028,-8.828198449,13,gazing_else_where
34,2.256297811,-2.852502599,-8.303724688,-8.289813221,-7.76914077,12,gazing_else_where
35,2.09002741,-3.19100838,-8.52990365,-10.70516178,-4.328608641,11,gazing_else_where
36,2.579179996,-2.332272717,-9.92431629,-15.82603565,5.829832989,15,gazing_else_where
37,2.090574585,-2.830379401,-9.514856625,-10.53953516,-0.52823483,9,gazing_else_where
38,2.439099489,-3.34726843,-8.259983749,-11.20601735,-4.192448848,11,gazing_else_where
39,1.779191508,-2.844499904,-9.381913485,-10.22998783,-3.675553256,11,gazing_else_where
40,1.955692755,-3.14795175,-8.645340488,-1.845394933,-18.67133461,22,gazing_else_where
41,1.089429642,-3.430665688,-8.642208736,-4.188641211,4.927097486,3,gazing_else_where
42,2.028705276,-3.144999387,-8.27869026,-8.86123321,9.788769899,10,gazing_else_where
43,1.816336143,-3.159517473,-8.582379969,-5.096396219,-0.235636119,4,gazing_else_where
44,1.861535445,-2.917739086,-9.015252001,-6.667387841,-3.44997198,7,gazing_else_where
45,2.04993973,-3.062070501,-9.020888008,-3.29636313,-1.082128133,4,gazing_else_where
46,2.253076203,-2.954918521,-9.679039781,-7.867569809,0.88948003,6,gazing_else_where
47,2.681791023,-3.570097464,-8.395501192,-5.183937479,-7.488494118,10,gazing_else_where
48,2.774304942,-2.532566005,-4.10555943,-10.52269386,-1.383606735,9,gazing_else_where
49,2.194566883,-3.283643887,-0.844932978,12.7256899,-7.185863202,19,gazing_else_where
50,4.498480581,-3.541372798,-1.725073011,15.28416159,-8.955448746,22,gazing_else_where
51,4.208072676,-3.037809602,-1.542984001,6.577555393,-10.44339153,16,gazing_else_where
52,3.212399859,-3.272294335,-1.970058168,8.634709964,-7.13178701,16,gazing_else_where
53,3.032040927,-3.237710727,-2.131033699,8.040868822,-10.60071236,17,gazing_else_where
54,3.50649536,-2.67648175,-3.25499967,8.224463273,-7.528657517,16,gazing_else_where
55,2.608382703,-3.642376477,-3.615728409,13.2608133,-6.422088468,20,gazing_else_where
56,3.349794014,-2.975821786,-3.600069906,15.60273342,-13.58973384,26,gazing_else_where
57,3.11034074,-3.711990891,-3.614850727,14.39823088,-5.485989578,21,gazing_else_where
58,3.660007331,-3.06620262,-3.730976494,21.9922164,-10.1952368,29,gazing_else_where
59,3.316504011,-3.062121751,-3.358550818,18.11738848,-8.708068069,25,gazing_else_where
60,4.156620505,-3.002162438,-3.587326344,17.969724,-8.619251385,25,gazing_else_where
61,3.801629702,-2.886664984,-3.515512659,7.745401608,21.04997308,24,gazing_else_where
62,3.960472578,-2.899171639,-3.246608575,3.634589488,20.05487821,22,gazing_else_where
63,4.118731276,-3.147653036,-3.702361973,6.675070647,13.45926488,17,gazing_else_where
64,4.076989448,-2.75449969,-3.752800791,6.710798164,20.10263549,23,gazing_else_where
65,3.749698238,-2.793268141,-3.180521359,11.44439524,21.14642772,26,gazing_else_where
66,3.937767383,-3.18834649,-2.533044213,15.30646679,20.97541157,28,gazing_else_where
67,6.337873041,-3.460489416,-1.473467564,-11.39844477,26.85123913,27,gazing_else_where
68,6.481150164,-2.33066735,1.590779288,-8.272576467,12.90481073,14,gazing_else_where
69,5.061043594,-2.131167129,1.319769028,-9.02697334,13.54600092,15,gazing_else_where
70,4.821137144,-2.3423683,1.364857373,-9.510578182,20.03835453,22,gazing_else_where
71,5.469235434,-2.066909468,0.8909243,-7.231267974,10.01640565,12,gazing_else_where
72,5.69387977,-2.522441926,0.993853833,-8.829230294,13.33549203,15,gazing_else_where
73,5.806163602,-2.731099096,0.566032987,-8.511004966,13.37198034,15,gazing_else_where
74,5.630893221,-2.358247337,0.906900469,-6.885592979,12.20659516,13,gazing_else_where
75,5.344025711,-2.451483045,1.28539206,-6.036271252,9.464343276,10,gazing_else_where
76,5.565971833,-2.265206703,0.979622982,-7.762259291,12.46068563,14,gazing_else_where
77,6.002837821,-2.539358146,1.043856086,-8.951478803,16.23983286,18,gazing_else_where
78,5.597923037,-2.530576891,0.336498678,-5.309755274,9.851458895,11,gazing_else_where
79,5.381713168,-2.089501004,0.556205614,-10.68387164,21.62214196,23,gazing_else_where
