,pitch,roll,yaw,eye_pitch,eye_yaw,magnitude,actual_label
0,-10.369831531229128,-0.2694381617517139,-1.5491442096425263,-9.075903444053584,1.5257635630163038,9,gazing
1,-11.319996991569313,-0.7154884356455385,-1.2192961554183037,-10.159717027307682,7.612866746602516,13,gazing
2,-11.535352250107179,-0.8636953819145201,-1.2680018314407902,-6.539677505938715,9.48998288333382,11,gazing
3,-11.232671068160142,-0.3698868278359272,-1.766353725926949,-3.133894459422649,8.755520141153475,9,gazing
4,-11.266247886776817,-0.7486278366176785,-2.0910696986788335,-5.812786132385332,4.955554685334997,6,gazing
5,-10.745496318618091,-0.686363066971493,-1.7130521294543537,-6.902485761045842,12.212843676495561,15,gazing
6,-11.368323200400507,-0.9075219899886494,-1.7347598849023533,-4.7395091212496565,5.054798203493219,5,gazing
7,-10.951787866523267,-1.0918973369291627,-1.2746091308009506,-3.5865676504301303,8.237685755795724,9,gazing
8,-11.226585109686743,-0.8844169494468197,-1.4507737474757831,-3.353480621434069,5.197342210770046,4,gazing
9,-11.549984275983556,-0.5889476026197954,-1.7930527328402526,-3.533026589213762,13.029984784848649,14,gazing
10,-10.560827405843757,-0.7982381888349316,-1.7704972152316443,-6.139730643783155,9.649643901580797,11,gazing
11,-10.519470706881304,-0.6282699630599596,-2.0574343725826743,-6.249097428387901,7.573945352351007,9,gazing
12,-10.294077615199003,-1.3171137383889018,-2.268841596884299,-4.7233122786645865,4.476494849475855,4,gazing
13,-11.088721284211902,-1.7133271936574055,-2.2150001193227986,-1.9508348372643958,1.0783324735429742,3,gazing
14,-11.051614249629875,-1.9625709083064846,-2.4513607356024107,-1.6564755530438537,2.0339422462683294,1,gazing
15,-10.777078701628342,-1.4010533504358356,-2.071568188769193,-3.6332541350701457,1.6646731062645734,1,gazing
16,-10.383567456645745,-1.0624579041835098,-1.4010343640574145,-4.11716068616785,8.858772867743944,9,gazing
17,-9.838113247176189,-1.033625534954382,-1.6442002373351954,-4.255190322092167,7.5974592987505885,7,gazing
18,-10.245738215547632,-1.3391460271713518,-1.4356523008718425,-4.197551124885865,4.388872306740639,4,gazing
19,-9.134597121239667,-1.1277056113740476,-1.6553746046072386,-2.3590850070088343,1.7638576628676839,1,gazing
20,-9.712368235121442,-1.1460518134240234,-0.6839493643605022,-5.285051704592569,6.312699287736155,6,gazing
21,-9.502314293883058,-1.063342218187088,-1.1666496739957293,-3.50893483477536,6.673925559339005,5,gazing
22,-9.759838985281744,-0.7824737170860618,-1.7266675429621288,-3.685547233724157,2.228617530185484,2,gazing
23,-9.317714953143614,-1.3001734421694318,-1.4736874200694532,-5.515690910468712,-1.3995453985050585,6,gazing
24,-8.695658173783904,-1.211244954387831,-1.7292089921833125,-3.3416101941926244,7.69905507949495,7,gazing
25,-9.995618116730647,-1.0936080931949341,-1.4093540978176327,-3.0475936373234602,8.33393527532565,8,gazing
26,-8.986058995304957,-1.0864810148363842,-1.3864302841111849,-7.172032357848736,0.973953814126377,6,gazing
27,-9.388584041419474,-1.100507797780747,-1.3651076971987632,-3.5237595300005844,1.576111917272274,1,gazing
28,-9.27566247672411,-1.1455129154358425,-1.374865002594815,-0.7758598891525414,7.032606411231712,7,gazing
29,-9.277176021155459,-1.2959311946474914,-1.373868631641156,0.657494243324129,4.030499552547144,4,gazing
30,-8.9201515148276,-1.279407258546367,-1.2595450004595066,-2.3736170980953197,4.550245206821221,3,gazing
31,-9.641127267959126,-1.5871992708213265,-1.318419259189459,0.43808797363719637,3.4906938531963974,4,gazing
32,-8.411851422309702,-1.3338187795532923,-0.8694766511407478,-2.4590401945921947,11.186891646781657,12,gazing
33,-9.545754953974066,-1.2719093967221002,-1.0574145977475577,-5.6242587116573235,5.487143015191977,6,gazing
34,-8.826399849028814,-0.9221488979439059,-1.4385877741336741,-8.18026721686305,4.440308047191303,8,gazing
35,-8.931842192144824,-1.0715162838911958,-1.0409449558548503,-2.0348105111139274,7.915463445824061,7,gazing
36,-9.150400842212935,-1.1679726984009546,-0.7548404221433768,-1.884717920286563,3.1601411496812934,1,gazing
37,-8.731754999321431,-1.3327273668907103,-0.742192032666353,-2.472875866221496,1.6327886903596067,1,gazing
38,-9.132850551559034,-1.0398064949224324,-1.5257182511693408,-5.352726556581855,7.249725323801879,7,gazing
39,-9.37650175565769,-1.3547042989258742,-1.029221183639106,-3.87920885996076,0.37360656442788337,3,gazing
40,-8.574239008627973,-1.427486973886857,-1.39869254894021,-2.404309609412723,-0.27358125069545464,4,gazing
41,-9.019141882011258,-1.3199399939352026,-0.7564879404552936,-1.7199025709158935,-0.13541945060956043,4,gazing
42,-8.086346839193078,-1.1319812576342438,-1.168950346588198,-5.675840094377214,7.119290114829665,8,gazing
43,-8.084939267911219,-1.4846865332195998,-0.8427751452299834,-5.933778361075813,4.945224270489179,6,gazing
44,-8.16139057274607,-1.4046737170216457,-0.8342720790297313,-6.37861732089883,7.927394364282603,8,gazing
45,-7.83970667118373,-1.4396860900535557,-0.5964030463912797,-6.002514245464316,-0.011652598642711523,5,gazing
46,-9.017540698656816,-1.6633505835455407,-0.3645241448655164,-3.5534702861575482,2.6818493904456306,1,gazing
47,-8.542014066392605,-1.7046431553653216,-0.6185568130877641,-3.9333927720764343,1.322195778117388,2,gazing
48,-8.767621116907137,-1.4405769004847477,-0.4994634627924441,-2.7162092039334893,-1.536121161708723,5,gazing
49,-8.760431522118242,-1.3482062194221907,-0.4336220393158745,-4.107523528297014,-0.5048940669614226,4,gazing
50,-8.346187872610546,-1.3761369863132165,-1.0398023107336962,-3.439012470949875,-1.7198372263307475,6,gazing
51,-8.467042095297984,-1.4257761984584216,-1.142608930482582,-5.675010860916097,0.7592878009049947,4,gazing
52,-8.520636317595025,-1.4044498733315371,-0.6582656575561894,-4.226880739203132,1.0725516632898224,3,gazing
53,-8.903663693317958,-1.6292591815849369,-0.35406859313913125,-5.840469087207108,0.9593617155850449,4,gazing
54,-8.404353488487702,-1.5682920173870172,-1.0818486553234339,-4.505674948854955,5.006626889379892,4,gazing
55,-8.813833344493386,-1.4165489284770922,-0.8682425185983383,-5.961383537938817,1.8905182548198494,4,gazing
56,-8.802660241632715,-1.536281735222346,-1.0812050051488247,-1.9540431531346523,-1.139775285279359,5,gazing
57,-8.217894813026406,-1.0042045144179994,-0.925140058474434,-4.980376094751026,-1.1526532494696042,5,gazing
58,-8.526190839070377,-1.2214617111783128,-0.39055393246026326,-4.761223483209185,-5.704616840880984,10,gazing
59,-9.250159830350976,-1.3056193646218166,-0.1542535930264693,-6.856009619567447,6.553072784889612,8,gazing
60,-8.426488157265341,-1.444831901084326,-1.074655461232075,-3.8924628722600505,1.065742120329065,2,gazing
61,-8.579372073788269,-1.6019393789332288,-0.5751367252829706,-3.7496477006267037,1.5899447171240564,1,gazing
62,-7.918051946206081,-1.5201134854091525,-1.104589513531988,-5.6459111756989975,1.8471133717265857,4,gazing
63,-8.362981715250562,-1.7842795601393826,-0.7720387901248648,-3.002797777324027,0.2956343630745624,2,gazing
64,-8.699559766880999,-1.5146889940974495,-1.2584751412008761,-4.289834752132029,3.5450970501481236,3,gazing
65,-8.33343013040566,-2.4763689732808647,5.8320696395518965,8.157189673643526,8.105851319501344,17,gazing
66,2.640428801761757,-6.580159987030685,34.00778232211121,-7.783818210999152,-29.63671879430819,29,gazing
67,4.310877167007332,-6.939139081486224,35.03222643077713,-13.164642490227607,-23.413784888823727,23,gazing
68,4.996260807022612,-7.940639646791516,34.251770386331835,-4.77532154110972,-30.670760746261156,29,gazing
69,3.393407919461926,-7.1375854366909275,34.84204260729097,-6.073172288719504,-30.172809391416642,29,gazing
70,3.786908445682839,-7.337782759887931,33.41314202682044,-8.742899534611583,-27.5613753191463,26,gazing
71,2.8758342325745643,-7.251805471754622,34.147197435004564,-7.952709675759109,-28.58272218713808,27,gazing
72,3.2642240976604437,-6.766958721754336,33.27294400292067,-4.437687815379265,-30.356180182192272,29,gazing
73,2.213451999289414,-6.074842340496535,32.81566181097866,-7.050962598837151,-31.097628291860666,30,gazing
74,1.3909602738685507,-6.339924077847579,33.49645157519867,-5.962775797946933,-31.693631405899108,31,gazing
75,2.685082836708041,-6.831768078291365,32.800128935810704,-3.3580986207652495,-34.1915344794755,35,gazing
76,2.226531865512144,-6.296268748255174,32.34985558656612,-3.241265434950176,-32.117107432566065,32,gazing
77,3.201639479596397,-6.711728943382597,32.30751703039089,-8.008406900654602,-32.84989773555737,32,gazing
78,2.572152952205405,-6.274056604395894,32.40966524655832,-5.4846499387802226,-31.536406282535147,31,gazing
79,2.9796296931527357,-6.494727212962555,32.55489011988555,-6.644575824740528,-28.84165482932969,28,gazing
80,3.1709017247132323,-6.328548752666532,32.69863167545644,-9.591775065954435,-29.520738586472618,29,gazing
81,2.9252368415609404,-6.0988146057035815,33.80233086391726,-6.554684189897084,-36.55203388897817,36,gazing
82,2.1223159357073698,-6.001608551135757,32.985713951591734,-8.885881976316359,-30.813656200189953,29,gazing
83,1.4344565577446886,-6.147234360587655,32.718684813641396,-5.732933261310124,-35.28064455681208,34,gazing
84,3.258011743804211,-6.267839029358857,33.085405705187675,-9.411688904313548,-27.50731892147941,27,gazing
85,3.0072577860531586,-6.416385863339115,32.96638469459651,-7.139287287806557,-27.084726532301456,25,gazing
86,2.67662204365936,-5.8559703477265685,33.26000565730342,-7.498957345238133,-32.8140511244067,32,gazing
87,2.433172443015008,-6.514610613924976,32.82247347294986,-6.096897726370399,-33.61579008357773,33,gazing
88,1.6543951048721481,-5.5903682519471944,32.78056381944453,-8.756540674790415,-27.13494157898826,27,gazing
89,3.055272290987111,-6.020513925891629,32.68926622924573,-8.09091017655964,-32.54641653840002,31,gazing
90,2.317818603767831,-5.873992162774274,32.38749949972499,-8.123554572358126,-32.62378862296987,33,gazing
91,1.9683637276694825,-5.87569134047184,32.266282870746316,-5.667813864304357,-27.936221006781118,28,gazing
92,-3.660269830608645,-0.33152540964061333,0.07416919920955614,-9.3771847924064,10.991929478657747,14,gazing
93,4.535101184859401,5.148169931871985,-32.919360926247755,-11.489904320421841,12.373678645708267,10,gazing
94,3.843442410528225,6.591999734885136,-33.22787163662774,-4.756349716614768,-3.213289888501746,16,gazing
95,3.3438302632794215,6.482463242073414,-34.17620772767847,-3.8186700701607568,-0.19796919315502184,12,gazing
96,2.894322907955249,6.223630802286722,-33.46020486031938,-6.2549364451549625,-3.7321978362710757,16,gazing
